"DT_INCLUSAO";"Qualificação_Municípios.Região Covid-19";"Total de Casos";"Cod_Região";"Cod_Macro"
"30/05/2020";"Caxias do Sul - R23, R24, R25, R26";71;23;"SE"
"30/05/2020";"Palmeira das Missões - R15, R20";7;15;"NO"
"30/05/2020";"Capão da Canoa - R04, R05";13;4;"ME"
"30/05/2020";"Passo Fundo - R17, R18, R19";34;17;"NO"
"01/06/2020";"Erechim - R16";16;16;"NO"
"01/06/2020";"Caxias do Sul - R23, R24, R25, R26";38;23;"SE"
"01/06/2020";"Lajeado - R29, R30";32;29;"VA"
"02/06/2020";"Pelotas - R21";15;21;"SU"
"02/06/2020";"Santa Cruz do Sul - R28";7;28;"VA"
"03/06/2020";"Canoas - R08";28;8;"ME"
"03/06/2020";"Porto Alegre - R10";47;10;"ME"
"03/06/2020";"Novo Hamburgo - R07";27;7;"ME"
"03/06/2020";"Caxias do Sul - R23, R24, R25, R26";62;23;"SE"
"03/06/2020";"Passo Fundo - R17, R18, R19";61;17;"NO"
"03/06/2020";"Lajeado - R29, R30";55;29;"VA"
"03/06/2020";"Erechim - R16";61;16;"NO"
"02/06/2020";"Santa Maria - R01, R02";22;1;"CO"
"02/06/2020";"Taquara - R06";3;6;"ME"
"02/06/2020";"Ijuí - R13";5;13;"MI"
"01/06/2020";"Canoas - R08";5;8;"ME"
"01/06/2020";"Passo Fundo - R17, R18, R19";13;17;"NO"
"02/06/2020";"Santo Ângelo - R11";7;11;"MI"
"21/05/2020";"Cruz Alta - R12";5;12;"MI"
"03/06/2020";"Ijuí - R13";6;13;"MI"
"03/06/2020";"Capão da Canoa - R04, R05";5;4;"ME"
"03/06/2020";"Pelotas - R21";11;21;"SU"
"03/06/2020";"Palmeira das Missões - R15, R20";13;15;"NO"
"03/06/2020";"Santa Maria - R01, R02";24;1;"CO"
"03/06/2020";"Uruguaiana - R03";16;3;"CO"
"02/06/2020";"Guaíba - R09";3;9;"ME"
"02/06/2020";"Uruguaiana - R03";5;3;"CO"
"30/05/2020";"Porto Alegre - R10";105;10;"ME"
"04/06/2020";"Uruguaiana - R03";3;3;"CO"
"20/05/2020";"Uruguaiana - R03";1;3;"CO"
"20/05/2020";"Passo Fundo - R17, R18, R19";1;17;"NO"
"01/06/2020";"Palmeira das Missões - R15, R20";12;15;"NO"
"01/06/2020";"Pelotas - R21";2;21;"SU"
"01/06/2020";"Porto Alegre - R10";13;10;"ME"
"01/06/2020";"Taquara - R06";1;6;"ME"
"01/06/2020";"Ijuí - R13";2;13;"MI"
"01/06/2020";"Cruz Alta - R12";7;12;"MI"
"01/06/2020";"Capão da Canoa - R04, R05";5;4;"ME"
"01/06/2020";"Novo Hamburgo - R07";6;7;"ME"
"01/06/2020";"Santa Rosa - R14";1;14;"MI"
